company_number,concept,caption,is_subtotal,row_class,resolved_id,tier,rule
00698834,PercentageClassShareHeldInSubsidiary,%,False,balance,,escalated,
00698834,PercentageClassShareHeldInSubsidiary,%,False,balance,,escalated,
00698834,PercentageClassShareHeldInSubsidiary,%,False,balance,,escalated,
00698834,ApplicableTaxRate,(2024 -,False,balance,,escalated,
00698834,PensionCostsDefinedContributionPlan,(2024 -,False,balance,,escalated,
00698834,OutstandingPre-paidContributionsToDefinedContributionPlanReportingDate,(2024 - £,False,balance,,escalated,
00698834,MinimumOperatingLeasePaymentsRecognisedAsExpense,(2024 - £,False,balance,,escalated,
00698834,NumberSharesIssuedButNotFullyPaid,"1,033",False,balance,,escalated,
00698834,Creditors,"80,370",False,balance,,escalated,
00698834,Creditors,"80,370",False,balance,,escalated,
00698834,Creditors,"80,370",False,balance,,escalated,
00698834,Creditors,"80,370",False,balance,,escalated,
00698834,Creditors,: Amounts falling due within one year,False,balance,,escalated,
00698834,Creditors,: Amounts falling due within one year,False,balance,,escalated,
00698834,Creditors,: Amounts falling due within one year,False,balance,,escalated,
00698834,Creditors,: Amounts falling due within one year,False,balance,,escalated,
00698834,OtherPayablesAccruedExpenses,Accruals,False,balance,,escalated,
00698834,OtherPayablesAccruedExpenses,Accruals,False,balance,,escalated,
00698834,OtherPayablesAccruedExpenses,Accruals,False,balance,,escalated,
00698834,OtherPayablesAccruedExpenses,Accruals,False,balance,,escalated,
00698834,NumberDirectorsAccruingBenefitsUnderMoneyPurchaseScheme,Accruing benefits under money purchase pension scheme,False,balance,,escalated,
00698834,NumberDirectorsAccruingBenefitsUnderMoneyPurchaseScheme,Accruing benefits under money purchase pension scheme,False,balance,,escalated,
00698834,AcquiredThroughBusinessCombinationsPropertyPlantEquipment,Acquired through business combinations,False,balance,,escalated,
00698834,AcquiredThroughBusinessCombinationsPropertyPlantEquipment,Acquired through business combinations,False,balance,,escalated,
00698834,AcquiredThroughBusinessCombinationsPropertyPlantEquipment,Acquired through business combinations,False,balance,,escalated,
00698834,PurchaseIntangibleAssets,Acquisition of intangible assets,False,balance,asset.noncurrent.intangibles,tier2_keyword,tier2:asset.noncurrent.intangibles:intangible
00698834,PurchaseIntangibleAssets,Acquisition of intangible assets,False,balance,asset.noncurrent.intangibles,tier2_keyword,tier2:asset.noncurrent.intangibles:intangible
00698834,PaymentsToAcquireInterestsInJointVenturesAssociatesParticipatingInterestsClassifiedAsInvestingActivities,"Acquisition of investments in subsidiary, net of cash acquired",False,balance,asset.current.cash,tier2_keyword,tier2:asset.current.cash:cash
00698834,PurchasePropertyPlantEquipment,Acquisitions of tangible assets,False,balance,,escalated,
00698834,PurchasePropertyPlantEquipment,Acquisitions of tangible assets,False,balance,,escalated,
00698834,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,Additions,False,movement,,escalated,
00698834,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,Additions,False,movement,,escalated,
00698834,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,Additions,False,movement,,escalated,
00698834,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,Additions,False,movement,,escalated,
00698834,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,Additions,False,movement,,escalated,
00698834,AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,Additions,False,movement,,escalated,
00698834,AdditionsOtherThanThroughBusinessCombinationsIntangibleAssets,Additions acquired separately,False,movement,,escalated,
00698834,AdditionsOtherThanThroughBusinessCombinationsIntangibleAssets,Additions acquired separately,False,movement,,escalated,
00698834,AdministrationSupportAverageNumberEmployees,Administration and support,False,balance,,escalated,
00698834,AdministrationSupportAverageNumberEmployees,Administration and support,False,balance,,escalated,
00698834,AdministrativeExpenses,Administrative expenses,False,balance,expense.admin,tier2_keyword,tier2:expense.admin:administrative
00698834,AdministrativeExpenses,Administrative expenses,False,balance,expense.admin,tier2_keyword,tier2:expense.admin:administrative
00698834,IncreaseFromAmortisationChargeForYearIntangibleAssets,Amortisation charge,False,movement,,escalated,
00698834,IncreaseFromAmortisationChargeForYearIntangibleAssets,Amortisation charge,False,movement,,escalated,
00698834,IncreaseFromAmortisationChargeForYearIntangibleAssets,Amortisation charge,False,movement,,escalated,
00698834,IncreaseFromAmortisationChargeForYearIntangibleAssets,Amortisation charge,False,movement,,escalated,
00698834,AmortisationExpenseIntangibleAssets,Amortisation expense,False,movement,,escalated,
00698834,AmortisationExpenseIntangibleAssets,Amortisation expense,False,movement,,escalated,
00698834,AmountsOwedToRelatedParties,Amounts due to related parties,False,balance,,escalated,
00698834,AmountsOwedToRelatedParties,Amounts due to related parties,False,balance,,escalated,
00698834,AmountsOwedByRelatedParties,Amounts owed by related parties,False,balance,,escalated,
00698834,AmountsOwedByRelatedParties,Amounts owed by related parties,False,balance,,escalated,
00698834,AmountsOwedByRelatedParties,Amounts owed by related parties,False,balance,,escalated,
00698834,DeferredTaxExpenseCreditRelatingToOriginationReversalTimingDifferences,Arising from origination and reversal of timing differences,False,balance,,escalated,
00698834,DeferredTaxExpenseCreditRelatingToOriginationReversalTimingDifferences,Arising from origination and reversal of timing differences,False,balance,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2023,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,Equity,At 1 December 2024,True,period_marker,,escalated,
00698834,IntangibleAssetsGrossCost,At 1 December 2024,False,period_marker,,escalated,
00698834,IntangibleAssetsGrossCost,At 1 December 2024,False,period_marker,,escalated,
00698834,IntangibleAssetsGrossCost,At 1 December 2024,False,period_marker,,escalated,
00698834,AccumulatedAmortisationImpairmentIntangibleAssets,At 1 December 2024,False,period_marker,,escalated,
00698834,AccumulatedAmortisationImpairmentIntangibleAssets,At 1 December 2024,False,period_marker,,escalated,
00698834,AccumulatedAmortisationImpairmentIntangibleAssets,At 1 December 2024,False,period_marker,,escalated,
00698834,IntangibleAssetsGrossCost,At 1 December 2024,False,period_marker,,escalated,
00698834,IntangibleAssetsGrossCost,At 1 December 2024,False,period_marker,,escalated,
00698834,IntangibleAssetsGrossCost,At 1 December 2024,False,period_marker,,escalated,
00698834,AccumulatedAmortisationImpairmentIntangibleAssets,At 1 December 2024,False,period_marker,,escalated,
